industry_id,industry_name
1166,wholesale metals and minerals
1171,"wholesale appliances, electrical, and electronics"
1178,"wholesale hardware, plumbing, heating equipment"
1187,wholesale machinery
1206,wholesale recyclable materials
1208,wholesale luxury goods and jewelry
1212,wholesale paper products
1221,wholesale drugs and sundries
1222,wholesale apparel and sewing supplies
1230,wholesale footwear
1231,wholesale food and beverage
1250,wholesale raw farm products
1257,wholesale chemical and allied products
1262,wholesale petroleum and petroleum products
1267,wholesale alcoholic beverages
1285,internet marketplace platforms
1292,retail motor vehicles
1309,retail furniture and home furnishings
1319,"retail appliances, electrical, and electronic equipment"
1324,retail building materials and garden equipment
1339,food and beverage retail
1359,retail health and personal care products
1407,retail musical instruments
1409,retail books and printed news
1423,retail florists
1424,retail office supplies and gifts
1431,retail recyclable materials & used merchandise
1445,online and mail order retail
1481,rail transportation
1495,ground passenger transportation
1497,urban transit services
1512,school and employee bus services
1520,pipeline transportation
1594,"technology, information and media"
1673,credit intermediation
1696,loan brokers
1713,securities and commodity exchanges
1720,investment advice
1725,insurance carriers
1737,insurance agencies and brokerages
1738,"claims adjusting, actuarial services"
1742,funds and trusts
1743,insurance and employee benefit funds
1745,pension funds
1750,trusts and estates
1757,real estate and equipment rental services
1770,real estate agents and brokers
1779,equipment rental services
1786,consumer goods rental
1798,commercial and industrial equipment rental
1810,professional services
1855,it system design services
1862,marketing services
1905,holding companies
1912,administrative and support services
1916,office administration
1923,executive search services
1931,telephone call centers
1938,collection agencies
1958,security systems services
1965,janitorial services
1986,waste treatment and disposal
1999,education
2018,technical and vocational training
2027,sports and recreation instruction
2045,dentists
2054,"physical, occupational and speech therapists"
2069,medical and diagnostic laboratories
2074,home health care services
2081,hospitals
2091,nursing homes and residential care facilities
2115,community services
2130,performing arts and spectator sports
2133,theater companies
2142,sports teams and clubs
2159,museums
2163,zoos and botanical gardens
2167,amusement parks and arcades
2179,golf courses and country clubs
2190,accommodation and food services
2194,hotels and motels
2197,"bed-and-breakfasts, hostels, homestays"
2212,caterers
2225,repair and maintenance
2226,vehicle repair and maintenance
2258,personal and laundry services
2259,personal care services
2318,household services
2353,health and human services
2358,public health
2360,public assistance programs
2366,"air, water, and waste program management"
2368,conservation programs
2369,housing and community development
2374,community development and urban planning
2375,economic programs
2391,military and international affairs
2401,operations consulting
2458,data infrastructure and analytics
2468,electrical equipment manufacturing
2489,wind electric power generation
2500,wineries
2934,landscaping services
3065,courts of law
3068,correctional institutions
3070,fire protection
3081,housing programs
3085,transportation programs
3086,utilities administration
3089,space research and technology
3101,desktop computing software products
3102,it system custom software development
3103,it system operations and maintenance
3104,it system installation and disposal
3105,it system training and support
3106,it system data services
3107,it system testing and evaluation
3124,internet news
3126,interior design
3127,social networking platforms
3128,business intelligence platforms
3129,business content
3130,data security software products
3132,internet publishing
3134,blockchain services
3187,defense & space
3188,veterinary
3189,cosmetics
3190,apparel & fashion
3191,consumer electronics
3192,consumer goods
3193,furniture
3194,"leisure, travel & tourism"
3195,food & beverages
3196,fine art
3197,building materials
3198,automotive
3199,dairy
3200,education management
3202,non-profit organization management
3203,program development
3207,"health, wellness & fitness"
3208,e-learning
3210,human resources
3212,luxury goods & jewelry
3213,renewables & environment
3214,online media
3216,industrial automation
3217,medical device
3218,semiconductors
3219,commercial real estate
3220,wine & spirits
3221,mechanical or industrial engineering
3222,transportation/trucking/railroad
3223,packaging & containers
3224,food production
3226,aviation & aerospace
3227,design
3229,warehousing
3231,information technology & services
3233,research
3234,computer networking
3235,computer hardware
3236,maritime
3237,entertainment
3238,biotechnology
3239,paper & forest products
3240,renewable energy power generation
3241,renewable energy equipment manufacturing
3242,engineering services
3243,services for renewable energy
3244,digital accessibility services
3246,accessible architecture and design
3247,robot manufacturing
3248,robotics engineering
3249,surveying and mapping services
3250,retail pharmacies
3251,climate technology product manufacturing
3252,climate data and analytics
3253,alternative fuel vehicle manufacturing
